tt0041685	Navajo Trail Raiders	7.4	33
tt0041687	Neptune's Daughter	6.5	1477
tt0041694	No Man of Her Own	7.4	2084
tt0041699	Stray Dog	7.9	16330
tt0041702	We Will All Go to Paris	7.1	80
tt0041716	On the Town	7.4	16836
tt0041719	Orpheus	8.0	11676
tt0041720	Another Spring	6.5	15
tt0041723	Outlaw Country	6.5	67
tt0041734	Not Any Weekend for Our Love	6.0	32
tt0041737	Passport to Pimlico	7.2	4381
tt0041746	Pinky	7.2	2943
tt0041747	Pioneer Marshal	6.5	21
tt0041749	The Pirates of Capri	6.2	185
tt0041758	The Firemen of Viggiù	6.2	96
tt0041761	Port of New York	6.1	863
tt0041762	La Portatrice di pane	5.1	15
tt0041766	Powder River Rustlers	6.4	63
tt0041767	Prince of Foxes	7.0	1648
tt0041773	The Doorman	7.1	248
tt0041777	Her Favourite Husband	6.0	98
tt0041783	Ranger of Cherokee Strip	6.3	48
tt0041784	The Valley Resounds	5.8	44
tt0041786	The Reckless Moment	7.1	4713
tt0041787	Red Canyon	6.3	258
tt0041788	The Red Danube	6.4	605
tt0041790	Red Light	6.4	991
tt0041792	The Red Pony	6.4	982
tt0041794	Red Stallion in the Rockies	5.4	31
tt0041796	Reign of Terror	7.0	1666
tt0041800	Rendezvous in July	7.2	390
tt0041803	The Troublemaker	7.4	39
tt0041809	Riders of the Whistling Pines	5.8	198
tt0041810	Rim of the Canyon	6.3	143
tt0041814	The Rival of the Empress	5.4	35
tt0041816	Rock Island Trail	6.2	183
tt0041822	Rope of Sand	6.8	1402
tt0041825	Le Rossignol et les Cloches	5.3	15
tt0041826	Rotation	7.3	342
tt0041827	Roughshod	6.6	589
tt0041838	Samson and Delilah	6.8	7602
tt0041839	San Antone Ambush	3.8	26
tt0041840	Sand	5.8	88
tt0041845	Satan's Cradle	5.9	71
tt0041849	Der Schuß durchs Fenster	6.9	11
tt0041855	The Secret Garden	7.5	2841
tt0041859	The Set-Up	7.9	8455
tt0041866	She Wore a Yellow Ribbon	7.3	16762
tt0041869	Sheriff of Wichita	7.2	48
tt0041871	Shockproof	6.5	1573
tt0041873	Signorinella	6.3	16
tt0041883	Slattery's Hurricane	6.5	459
tt0041885	Slightly French	6.4	308
tt0041899	Song of Surrender	6.6	98
tt0041901	Sons of New Mexico	6.5	101
tt0041904	South Sea Sinner	5.7	121
tt0041907	South of St. Louis	6.0	471
tt0041909	Hawk of the Nile	4.7	28
tt0041913	The Bride Can't Wait	5.9	26
tt0041914	Square Dance Jubilee	4.2	42
tt0041915	Stagecoach Kid	6.3	170
tt0041921	A Tale of Five Cities	5.6	113
tt0041923	The Story of Seabiscuit	6.2	785
tt0041925	Fugitive Lady	5.4	34
tt0041926	Strange Bargain	6.8	383
tt0041928	The Stratton Story	7.1	2918
tt0041929	Streets of Laredo	6.7	689
tt0041931	Stromboli	7.3	6450
tt0041935	Susanna Pass	6.5	146
tt0041944	Take Me Out to the Ball Game	6.7	3484
tt0041945	Take One False Step	6.6	399
tt0041947	Tarzan's Magic Fountain	6.0	588
tt0041948	Task Force	6.6	1006
tt0041955	That Forsyte Woman	6.7	1251
tt0041958	Thieves' Highway	7.6	5583
tt0041959	The Third Man	8.1	165209
tt0041971	The Torch	5.5	194
tt0041974	Totò cerca casa	6.5	446
tt0041975	Totò Le Mokò	6.8	454
tt0041976	Tough Assignment	5.5	110
tt0041979	Double Cross	6.5	65
tt0041981	Trail of the Yukon	5.6	37
tt0041993	Le Trésor des Pieds-Nickelés	5.4	15
tt0041994	Tulsa	6.2	1150
tt0041997	Twilight in the Sierras	6.5	118
tt0041998	Thirst	6.5	2365
tt0042001	A Certain Mister	4.3	14
tt0042003	A Man Walks in the City	7.0	91
tt0042004	Under Capricorn	6.2	6905
tt0042005	Under My Skin	6.6	321
tt0042006	The Undercover Man	6.6	1060
tt0042007	Undertow	6.7	529
tt0042013	La Valse de Paris	6.5	50
tt0042021	Vespro siciliano	6.4	10
tt0042030	Volcano	6.7	293
tt0042033	The Walking Hills	6.5	812
tt0042039	Whirlpool	6.8	3950
tt0042040	Whisky Galore!	7.2	5695
tt0042050	The Wolf Hunters	4.6	31
tt0042055	The Wyoming Bandit	6.4	83
tt0042061	The Younger Brothers	5.1	187
tt0042062	Yvonne of the Night	6.5	78
tt0042175	47 morto che parla	7.0	397
tt0042176	711 Ocean Drive	6.9	1405
tt0042179	Abbott and Costello in the Foreign Legion	6.4	2902
tt0042182	The Admiral Was a Lady	5.9	341
tt0042184	Afsar	7.2	24
tt0042185	Agustina of Aragon	6.0	80
tt0042188	Al son del mambo	7.2	25
tt0042190	Alina	6.3	112
tt0042192	All About Eve	8.2	125916
tt0042193	The Straw Lover	6.4	10
tt0042194	The Glass Castle	6.0	212
tt0042195	American Guerrilla in the Philippines	6.1	1106
tt0042197	Kalle und die Diamantenschmuggler	5.3	80
tt0042198	The Angel with the Trumpet	6.2	120
tt0042200	Annie Get Your Gun	6.9	4645
tt0042201	Apartado de correos 1001	6.9	129
tt0042202	That Man from Tangier	5.1	33
tt0042203	The Arizona Cowboy	6.0	68
tt0042206	Armored Car Robbery	7.0	2564
tt0042207	Arzoo	7.1	58
tt0042208	The Asphalt Jungle	7.9	25362
tt0042209	At War with the Army	5.7	2301
tt0042210	Atoll K	5.6	1952
tt0042215	Oh Darling! Look What You've Done!	7.4	78
tt0042216	عيني بترف	5.0	9
tt0042217	Papa Amin	6.6	154
tt0042218	بابا عريس	5.6	10
tt0042219	Backfire	6.6	1282
tt0042220	Bait	4.8	22
tt0042222	Reckless	6.5	142
tt0042223	Ballerina	5.4	9
tt0042224	The Bandit Queen	5.9	83
tt0042225	Banwra	6.0	11
tt0042226	Battle of Roses	6.6	90
tt0042227	Bluebeard	5.8	60
tt0042229	The Baron of Arizona	7.0	2093
tt0042230	Barricade	6.0	219
tt0042233	Bawre Nain	6.9	43
tt0042235	Beauty and the Devil	7.4	1530
tt0042237	Belle of Old Mexico	6.2	31
tt0042238	Bellezze in bicicletta	6.2	26
tt0042239	Bells of Coronado	6.2	187
tt0042240	Symphonie einer Weltstadt	6.2	26
tt0042241	Bernard and the Lion	4.3	16
tt0042242	Between Midnight and Dawn	6.5	562
tt0042243	Beware of Blondie	6.3	196
tt0042244	Beyond the Purple Hills	6.5	103
tt0042246	Bibi Fricotin	5.0	48
tt0042247	The Big Hangover	6.0	489
tt0042249	The Big Lift	6.5	1513
tt0042250	Highway 301	6.8	567
tt0042252	La bisarca	6.2	34
tt0042253	Bitter Springs	6.3	140
tt0042254	The Crossroads	6.8	27
tt0042255	Black Jack	5.9	132
tt0042256	The Black Rose	6.3	2037
tt0042257	Blackmailed	7.5	36
